Change Request ID,Date Submitted,Requested By,Department/Team,Priority,Impact,Change Type,Change Title,Detailed Description,Business Justification,Systems Affected,Risks & Dependencies,Estimated Effort (Hours/Days),Proposed Timeline,Rollback Plan,Resources Required,Approval Status,Approved By,Change Implemented On,Final Status,Comments/Notes
CR-002,03-02-2025,Aneel Mitra,Development,High,Low,Enhancement,Head Quarter text.,"Footer:- Previous, HQ text converts to Head Quarter text.",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-003,03-03-2025,Aneel Mitra,Development,High,High,New Feature,New added- 4 banner,Banner:- Total 6 banner (Priveous 2 banner) New added- 4 banner,,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,SCO issue
CR-004,03-04-2025,Aneel Mitra,Development,Medium,Medium,New Feature,No zoom in effect on products previously,"Product Listing:- On hover on product image the different image needs to zoom in. (Prevous,No zoom In effect)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-005,03-05-2025,Aneel Mitra,Development,High,Medium,New Feature,Homepage:-Auto slide,"Homepage:-Auto slide offer add below the Homepage banner with click here button which is having a functionality . (Prevous,No auto slide offer) ",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,0,completed,Design & frontend development complete. Functionality pending/Done with functionality update
CR-006,03-06-2025,Aneel Mitra,Development,High,High,New Feature,Add the sitemap link,"Footer:- Add the sitemap link in Company section. (Previous,No sitemap link)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-007,03-07-2025,Aneel Mitra,Development,High,Medium,Enhancement,Remove the Product section,"Footer:- Remove the Product section (Previous,There is a product section in footer)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-008,03-08-2025,Aneel Mitra,Development,High,Medium,Enhancement,"Remove this text ""Equipments that make everyday life smooth""","Homepage:-Remove this text ""Equipments that make everyday life smooth"" from essential section. (Previous,this text is present)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,need to add the text with autoslide.
CR-009,03-09-2025,Aneel Mitra,Development,High,Low,Enhancement,Homepage-essential card name,Homepage:-Change the position of the essential card name from bottom to the top.,,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-010,03-10-2025,Aneel Mitra,Development,High,Low,Enhancement,Homepage-Remove text,"Homepage:-Remove this text ""Pick from your needs"" from Shop By category section. (Prevous,this text is present)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,need to add the text with autoslide.
CR-011,03-11-2025,Aneel Mitra,Development,High,High,New Feature,Homepage- new feature,"Homepage:-New feature -Header logo is small than previous. (Prevous, the logo is big.)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,Roleback
CR-012,03-12-2025,Aneel Mitra,Development,High,High,New Feature,Homepage-new feature,"Homepage:-New feature - Header logo animation is enlarge when scroll down. (Prevous, logo is is shrink) ",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,Roleback
CR-013,3/13/2025,Aneel Mitra,Development,High,High,New Feature,Homepage-add facebook logo ,"Homepage:-Add Facebook logo instead of ""Discover|Shop|Enjoy"" link.",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,SCO issue
CR-014,3/14/2025,Aneel Mitra,Development,High,High,New Feature,Homepage:-Add search bar,"Homepage:- Add search bar in the header section besides the user profile (Prevous,the search bar in the navigation bar.)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-015,3/15/2025,Aneel Mitra,Development,High,Low,Enhancement,Homepage:-alignment of nav bar,"Homepage:-Navigation bar is aligned center.(Previous , it left align).",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-016,3/16/2025,Aneel Mitra,Development,High,Medium,Enhancement,Homepage:- new nav bar content,"Homepage:- New Navigation bar content is ""Home|Kitchen & Dinning|Cookware & Serveware|Storage Container|Accessories|About Us(Dropdown)"". (Previous, Home|Products|Brands|About Us )",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,"Next phase we need to add the ""Blog"""
CR-017,3/17/2025,Aneel Mitra,Development,High,Medium,Enhancement,Homepage:-remove search bar,"Homepage:- Remove the search bar from ""Explore our product section"". (Previous, serach bar is present)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-018,3/18/2025,Aneel Mitra,Development,High,High,New Feature,Homepage:-new feature,"Homepage:-New feature - On hover the product ADD and WISHLIST icon visible with functionality. (Previous, No such icon are present)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-019,3/19/2025,Aneel Mitra,Development,High,High,New Feature,Homepage:- add load more button,"Homepage:- Add the ""LOAD MORE"" button in the ""Explore our product section"" . (Previous, button not present)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-020,3/20/2025,Aneel Mitra,Development,High,High,New Feature,Homepage:-load more functionality,"Homepage:-  ""LOAD MORE"" button displays the 16 produts in the ""Explore our product section"" . (Previous,no such fuctionality )",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,zoom in effect for the product image
CR-021,3/21/2025,Aneel Mitra,Development,High,Low,Enhancement,Homepage:- Change the LIMKAR text color(Red),"Homepage:- Change the LIMKAR text color(Red) in ""Why our customers love us"" section. (Previous, Limkar text color is black)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-022,3/22/2025,Aneel Mitra,Development,High,Low,Enhancement,Homepage:- Change the position of this section heading,"Homepage:- Change the position of this section heading is in the center of the left block  ""Why our customers love us"" section. (Previous, its in the top most side of the block)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-023,3/23/2025,Aneel Mitra,Development,High,Low,Enhancement,Homepage:- The LIMKAR text needs to changed,"Homepage:- The LIMKAR text needs to citualted below the Managing Director text in  ""Why our customers love us"" section. (Previous, its in the same line with Managing Director )",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-024,3/24/2025,Aneel Mitra,Development,High,Medium,Enhancement,Homepage:- Change the signature,"Homepage:- Change the signature ""Why our customers love us"" section. (Previous, its a different signature)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-025,3/25/2025,Aneel Mitra,Development,High,Low,Enhancement,Homepage:- Change the icons of the static data,"Homepage:- Change the icons of the static data which is situated below  ""Why our customers love us"" section. (Previous, its a different icon)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,Add the previous icons 
CR-026,3/26/2025,Aneel Mitra,Development,High,Medium,Enhancement,"Homepage:- Change the ""24/7 CUSTOMER SERVICE"" text ","Homepage:- Change the ""24/7 CUSTOMER SERVICE"" text  to new text ""Elite Service Window Hours"". (Previous, 24/7 CUSTOMER SERVICE"" text )",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-027,3/27/2025,Aneel Mitra,Development,High,Medium,Enhancement,Homepage:- Change the sequence of the static data ,"Homepage:- Change the sequence of the static data (Free and Fast Delivery|Quality Assurance|Elite Service Window Hours) (Previous,Free and Fast Delivery|24/7 CUSTOMER SERVICE|Quality Assurance )",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,Add the previous sequance
CR-028,3/28/2025,Aneel Mitra,Development,High,High,Enhancement,Homepage:- Add  text,"Homepage:- Add this text ""Monday to Friday: 9:00 A.M. to 7:00 P.M. IST

Saturday & Sunday: 10:00 A.M. to 7:00 P.M. IST"" to this static data heading  ""Elite Service Window Hours"". (Previous, it is 24/7 CUSTOMER SERVICE"" )",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-029,3/29/2025,Aneel Mitra,Development,High,Medium,Enhancement,Footer- change bg color,"Footer:- The background color of footer is white (Previous, its in red and black combo ) ",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-030,3/30/2025,Aneel Mitra,Development,High,Medium,Enhancement,Footer:- Add text instead of icons,"Footer:- Add text instead of icons of watch/mobile/email/url. (Previous, its icons )",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,Changes done but not live yet.
CR-031,3/31/2025,Aneel Mitra,Development,High,High,New Feature,"Footer:- Add ""Get Direction"" link ","Footer:- Add ""Get Direction"" link for google map (Previous, it is not present)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,below india in both HQ & Branch (Changes done but not live yet.)
CR-032,04-01-2025,Aneel Mitra,Development,High,Low,Enhancement,Footer:- Remove the facebook icon ,"Footer:- Remove the facebook icon (Previous, facebook icon present)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-033,04-02-2025,Aneel Mitra,Development,High,High,New Feature,Footer:- Add calling feature for mobile.,"Footer:- Add calling feature for mobile. (Previous, it is not present)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-034,04-03-2025,Aneel Mitra,Development,Medium,Medium,New Feature,Product Detail:-New feature ,"Product Detail:- New feature added the product image  has forword and backword button with icon. (Previous, it is not present) ",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,In Progress,zoom in/out effect for img
CR-035,04-04-2025,Aneel Mitra,Development,High,High,New Feature,Product Detail:-New feature ,"Product Detail:-New feature - On hover the product image Quick ADD and WISHLIST icon visible  with functionality. (Previous, No such icon are present)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-036,04-05-2025,Aneel Mitra,Development,Medium,Medium,New Feature,Product Detail:- The Description and Return Policies are added  with links below the image product,"Product Detail:- The Description and Return Policies are added  with links below the image product. (Previous, it does not have a Return Policy , it has a description but it was below the price of the product.)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-037,04-06-2025,Aneel Mitra,Development,Medium,Medium,New Feature,Product Detail:- The Delivery info,"Product Detail:- The Delivery info below ADD TO CART button. (Previous, it is not present)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Pending,change the text according to the pincode and the data should be dynamic
CR-038,04-07-2025,Aneel Mitra,Development,Medium,Low,Enhancement,Product Detail:- The other product images alignment,"Product Detail:- The other product images are aligned left parallel. (Previous, it was situated below the main image .)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-039,04-08-2025,Aneel Mitra,Development,Medium,Medium,Enhancement,Product Detail:- Remove BUY NOW button.,"Product Detail:- Remove BUY NOW button. (Previous, it was present)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,In Progress,Need to add the button
CR-040,04-09-2025,Aneel Mitra,Development,Medium,Low,Enhancement,Product Detail:- The Quantity name is above the  increase/decrease button,"Product Detail:- The Quantity name is above the  increase/decrease button.  (Previous, it was sitting next to each other)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,In Progress,Quantity name design as per previous one and The color/size needs to be added with functionality 
CR-041,04-10-2025,Aneel Mitra,Development,Medium,Medium,New Feature,Product Detail:- The  ADD TO CART button  along with a price.,"Product Detail:- The  ADD TO CART button  along with a price. (Previous, it wasn't have a price)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-042,04-11-2025,Aneel Mitra,Development,High,High,Enhancement,Product Listing:- Remove per page fiters dropdown.   ,"Product Listing:- Remove per page fiters dropdown.   (Previous, it was present besides the Featured dropdown)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,In Progress,Need to add the filter 
CR-043,04-12-2025,Aneel Mitra,Development,Medium,High,Enhancement,Product Listing:- .Remove breadcrum,"Product Listing:- .Remove breadcrum  (Previous, it is present e.g  home/products/kitchen & Dinning)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,In Progress,Need to add the breadcrum
CR-044,4/13/2025,Aneel Mitra,Development,Medium,Medium,Enhancement,Product Listing:- Remove the count text,"Product Listing:- Remove the count text of the products present in the page.   (Previous, it was present e.g. Showing 1-12 of 42 item's)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,In Progress,
CR-045,4/14/2025,Aneel Mitra,Development,High,High,New Feature,Product Listing:-New feature - quick add,"Product Listing:-New feature - On hover the product image Quick ADD and WISHLIST icon visible  with functionality. (Previous, No such icon are present)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-046,4/15/2025,Aneel Mitra,Development,High,High,Enhancement,Product Listing:- Remove the filter of Price Range,"Product Listing:- Remove the filter of Price Range with fuctionality from aside bar section (Previous, it was present with fuctionality)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,In Progress,Need to add the filter
CR-047,4/16/2025,Aneel Mitra,Development,Medium,Medium,Enhancement,Product Listing:- Add product Category and brand text,"Product Listing:- Add product Category and brand text below the each product image with product name.(Previous, category and brand name not mension)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-048,4/17/2025,Aneel Mitra,Development,Medium,Medium,Enhancement,Login:- Add the Login heading,"Login:- Add the Login heading row with pinkish background color. (Previous, it was'n present )",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-049,4/18/2025,Aneel Mitra,Development,Medium,Low,Enhancement,"Login:- Remove the text ""Enter your details below"" ","Login:- Remove the text ""Enter your details below"" below the login text. (Previous, it was present )",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,roleback
CR-050,4/19/2025,Aneel Mitra,Development,Medium,Low,Enhancement,"Login:- The heading ""Login"" left aligned","Login:- The heading ""Login""  left aligned. (Previous, it was aligned center.)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,Delete the 2nd heading
CR-051,4/20/2025,Aneel Mitra,Development,Medium,Low,Enhancement,"Login:- Placeholder of email is ""Email""","Login:- Placeholder of email is ""Email""(Previous, it was ""Enter your valid email or mobile number"")",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,"Need to add the text below the pinkish background ""Enter your details below"""
CR-052,4/21/2025,Aneel Mitra,Development,Medium,Low,Enhancement,"Login:- Placeholder of email is ""Password""","Login:- Placeholder of password is ""Password""(Previous, it was ""Enter your valid password"")",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-053,4/22/2025,Aneel Mitra,Development,Medium,Low,Enhancement,Login:- Forgot Password,"Login:- Forgot Password link below Login button(Previous, it was below the password input box)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-054,4/23/2025,Aneel Mitra,Development,Medium,Low,Enhancement,Login:- For new user,"Login:- For new user link below login button  ""New Here? Register""(Previous, it was ""Don't have an account? Sign Up"")",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-055,4/24/2025,Aneel Mitra,Development,Medium,Low,Enhancement,Login:- All the login details in the card.,"Login:- All the login details in the card. (Previous, it was in the card box.)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-056,4/25/2025,Aneel Mitra,Development,Medium,Low,Enhancement,Register:- All the registration details in the card,"Register:- All the registration details in the card. (Previous, it was in the card box as per figma design)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-057,4/26/2025,Aneel Mitra,Development,Medium,Low,Enhancement,Register:- Add the Register heading,"Register:- Add the Register heading row with pinkish background color. (Previous, it was'n present )",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-058,4/27/2025,Aneel Mitra,Development,Medium,Medium,Enhancement,"Register:- Remove the text ""Enter your details below""","Register:- Remove the text ""Enter your details below"" below the ""Register"" card heading. (Previous, it had a ""Enter your details below"" text below the ""Create an account "" card heading.)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,"Need to add the text ""Enter your details below"" below the pinkish background."
CR-059,4/28/2025,Aneel Mitra,Development,Medium,Low,Enhancement,"Register:- The heading ""Register"" is left aligned.","Register:- The heading ""Register"" is  left aligned. (Previous, it was aligned center.)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,In Progress,Delete the 2nd heading
CR-060,4/29/2025,Aneel Mitra,Development,Medium,Low,Enhancement,Register:- Remove Confirm Password input box.,"Register:- Remove Confirm Password input box. (Previous, it was present.)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,In Progress,Roleback the feature and add the eye icon
CR-061,4/30/2025,Aneel Mitra,Development,Medium,Low,Enhancement,"Register:- Placeholder of email is ""Email or Mobile Number","Register:- Placeholder of email is ""Email or Mobile Number""(Previous, it was ""Enter your valid email or mobile number"")",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,In Progress,change the placeholder
CR-062,05-01-2025,Aneel Mitra,Development,Medium,Low,Enhancement,"Register:- For already register user link below register button ""Already have account? Login""","Register:- For already register user link below register button  ""Already have account? Login""(Previous, it was ""Don't have an account? Sign Up"")",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-063,05-02-2025,Aneel Mitra,Development,Medium,Low,Enhancement,"Register:- Change the button text "" Register ""input box.","Register:- Change the button text "" Register ""input box. (Previous, it was ""Sign Up"".)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-064,05-03-2025,Aneel Mitra,Development,Medium,Medium,Enhancement,Register:- Remove term and conditions checkbox input box.,"Register:- Remove term and conditions checkbox input box. (Previous, it was present.)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,In Progress,need to add the checkbox and the pop-uo message after select the checkbox.
CR-065,05-04-2025,Aneel Mitra,Development,Medium,Low,Enhancement,Cart:- Add the CART heading,"Cart:- Add the CART heading row with pinkish background color. (Previous, it was'n present )",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-066,05-04-2025,Aneel Mitra,Development,Medium,Low,Enhancement,Cart:- Update the CART heading,Cart:- new cart heading shopping cart instead of cart.,,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,In Progress,Changes done but not live yet.
CR-067,05-05-2025,Aneel Mitra,Development,Medium,Medium,Enhancement,Cart:- .Remove breadcrum,"Cart:- .Remove breadcrum  (Previous, it is present e.g  home/cart)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,In Progress,
CR-067,05-06-2025,Aneel Mitra,Development,Medium,Low,Enhancement,"Cart:- New heading ""Product""","Cart:- New heading ""Product"" (Previous, it was ""Product Details"")",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,Product heading is dynamic according to  the product count(e.g. 1 product -Product and more than 1 - Products)
CR-068,05-07-2025,Aneel Mitra,Development,Medium,Low,Enhancement,Cart:- New heading Subtotal,"Cart:- New heading Subtotal(Previous, it was ""Order Summary"")",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-069,05-08-2025,Aneel Mitra,Development,Medium,Low,Enhancement,"Cart:- New button name ""Place Order""","Cart:- New button name ""Place Order""(Previous, it was ""Proceed to Payment"")",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-070,05-09-2025,Aneel Mitra,Development,Medium,Medium,Enhancement,"Cart:- ""Product"" details are paralally shown","Cart:-  ""Product"" details are paralally shown(Previous, it was in the card body as per figma design)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-071,05-10-2025,Aneel Mitra,Development,High,High,Enhancement,Cart:- Add New feature Online payment mode icons,"Cart:- Add New feature Online payment mode icons below the button (Previous, it wasn't present.)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,,
CR-072,05-11-2025,Aneel Mitra,Development,Medium,Medium,Enhancement,"Cart:- .Remove ""Suggested Product"" section","Cart:- .Remove ""Suggested Product"" section  (Previous, it is present exactly above the footer section as per figma design.",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-073,05-12-2025,Aneel Mitra,Development,Medium,Medium,Enhancement,"Cart:- .Remove ""Move To Wishlistt"" button","Cart:- .Remove ""Move To Wishlistt"" button  (Previous, it is present  as per figma design.",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,In Progress,
CR-074,5/13/2025,Aneel Mitra,Development,Medium,Low,Enhancement,"Address:- Add the ""Checkout ""heading row with pinkish background","Address:- Add the ""Checkout ""heading row with pinkish background color. (Previous, it was'n present )",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-075,5/14/2025,Aneel Mitra,Development,Medium,Low,Enhancement,,"Address:- New heading ""Your Order""(Previous, it was ""Order Summary"")",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,In Progress,
CR-076,5/15/2025,Aneel Mitra,Development,Medium,Low,Enhancement,"Address:- New heading ""Your Order""(","Address:- Remove the cart product count number beside the heading ""Your Order""(Previous, it was shown beside this heading ""Order Summary"")",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,,
CR-077,5/16/2025,Aneel Mitra,Development,Medium,Medium,Enhancement,"Address:- New button name ""Pay Now""","Address:- New button name ""Pay Now""(Previous, it was ""Continue to Review"")",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,,
CR-078,5/17/2025,Aneel Mitra,Development,High,Medium,Enhancement,Address:- New design of the address page.,"Address:- New design of the address page.(Previous, it was different as per the figma design"")",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,,
CR-079,5/18/2025,Aneel Mitra,Development,High,High,Enhancement,Address:- New added feature Checkbox of terms and conditions,"Address:- New added feature Checkbox of terms and conditions.(Previous, it wasn't present"")",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,,
CR-080,5/19/2025,Aneel Mitra,Development,High,High,Enhancement,Address:- New added feature Privacy policy text.,"Address:- New added feature Privacy policy text.(Previous, it wasn't present"")",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,,
CR-081,03-10-2025,Sumeeth Singh,Development,Medium,Medium,Enhancement,Job description page,JD:- Need to add scroll in white background.,,"Web, Mobile",,,,,"UI /UX, Dev, QA",Approved,Aneel Mitra,,,
CR-082,3/22/2025,Satya,Development,Medium,Medium,Enhancement,Homepage,"Essential section tests bold/padding/background dark. 
User profile hover state design. ",,"Web, Mobile",,,,,"UI /UX, Dev, QA",Approved,Satya,,,
CR-083,3/22/2025,Satya,Development,Medium,Medium,Enhancement,Footer,"mobile/mail/time text deleted and in same regular text/aligned properly. 

- Sales & Service -icon color change red ",,"Web, Mobile",,,,,"UI /UX, Dev, QA",Approved,Satya,,,
CR-084,3/22/2025,Satya,Development,,High,Enhancement,Product listing page,"Header content should be highlighted when we are currently on that page. 

Add breadcrumb 

Change the filter tabs on top 

Number count product category wise/brand. ",,"Web, Mobile",,,,,"UI /UX, Dev, QA",Approved,Satya,,,
CR-085,3/22/2025,Satya,Development,,High,Enhancement,Product Detail page.,"Reduce the space between breadcrumb & header 

Image border should be in light gray 

Image is in square. 

Add scroller for thumbnail images. 

Need to update the delivery box design. ",,"Web, Mobile",,,,,"UI /UX, Dev, QA",Approved,Satya,,,
CR-086,3/22/2025,Satya,Development,,High,Enhancement,All the cart pages ,"Need to change the text Shopping cart 

Add button “Save for later” 

Image sizes should be even",,"Web, Mobile",,,,,"UI /UX, Dev, QA",Approved,Satya,,,
CR-087,3/22/2025,Satya,Development,,High,Enhancement,Address pages. ,Need frontend ,,"Web, Mobile",,,,,"UI /UX, Dev, QA",Approved,Satya,,,
CR-088,3/22/2025,Satya,Development,,High,Enhancement,Razor Pay Payment pages,UI color changes,,"Web, Mobile",,,,,"UI /UX, Dev, QA",Approved,Satya,,,
CR-089,3/22/2025,Satya,Development,,High,Enhancement,User dashboard ,"Dashboard 

All Order pages 

All address pages 

Account detail pages ",,"Web, Mobile",,,,,"UI /UX, Dev, QA",Approved,Satya,,,
CR-090,3/22/2025,Satya,Development,,High,Enhancement,Login page,"Need some changes in the forgot password  & login link. 

Add the eye button in the password field",,"Web, Mobile",,,,,"UI /UX, Dev, QA",Approved,Satya,,,
CR-091,3/22/2025,Satya,Development,,Medium,Enhancement,Policy page,Need frontend ,,"Web, Mobile",,,,,"UI /UX, Dev, QA",Approved,Satya,,,
CR-092,3/22/2025,Satya,Development,,Medium,Enhancement,Terms and condition page,Need frontend ,,"Web, Mobile",,,,,"UI /UX, Dev, QA",Approved,Satya,,,
CR-093,3/22/2025,Satya,Development,,Medium,Enhancement,Leadership page,#NAME?,,"Web, Mobile",,,,,"UI /UX, Dev, QA",Approved,Satya,,,
CR-094,3/22/2025,Satya,Development,,Medium,Enhancement,Careers page,Need to work on design part,,"Web, Mobile",,,,,"UI /UX, Dev, QA",Approved,Satya,,,
CR-095,3/22/2025,Satya,Development,,Medium,Enhancement,Wishlist,Add pagination after 3 rows,,"Web, Mobile",,,,,"UI /UX, Dev, QA",Approved,Satya,,,
CR-096,3/22/2025,Satya,Development,,Medium,Enhancement,Success page,"payment mode should be UPI/card/--- 

- Add success image/animation",,"Web, Mobile",,,,,"UI /UX, Dev, QA",Approved,Satya,,,
CR-097,3/22/2025,Satya123,Development,,Medium,Enhancement,Success page,"payment mode should be UPI/card/--- 

- Add success image/animation",,"Web, Mobile",,,,,"UI /UX, Dev, QA",Approved,Aneel Mitraa,,,New data added
